timestamp,steps,data source
2026-06-04T18:02:00Z,48,Versa 4
2026-06-04T18:03:00Z,36,Versa 4
2026-06-04T18:04:00Z,58,Versa 4
2026-06-04T18:05:00Z,87,Versa 4
2026-06-04T18:06:00Z,36,Versa 4
2026-06-04T18:07:00Z,32,Versa 4
2026-06-04T18:08:00Z,34,Versa 4
2026-06-04T18:09:00Z,43,Versa 4
2026-06-04T18:10:00Z,45,Versa 4
2026-06-04T18:11:00Z,83,Versa 4
2026-06-04T18:12:00Z,56,Versa 4
2026-06-04T18:13:00Z,12,Versa 4
2026-06-04T18:14:00Z,3,Versa 4
2026-06-04T18:15:00Z,56,Versa 4
2026-06-04T18:16:00Z,10,Versa 4
2026-06-04T18:31:00Z,51,Versa 4
2026-06-04T18:32:00Z,27,Versa 4
2026-06-04T18:33:00Z,9,Versa 4
2026-06-04T18:34:00Z,22,Versa 4
2026-06-04T18:35:00Z,20,Versa 4
2026-06-04T18:37:00Z,8,Versa 4
2026-06-04T18:38:00Z,24,Versa 4
2026-06-04T18:39:00Z,33,Versa 4
2026-06-04T18:40:00Z,30,Versa 4
2026-06-04T18:41:00Z,14,Versa 4
2026-06-04T18:42:00Z,78,Versa 4
2026-06-04T18:43:00Z,42,Versa 4
2026-06-04T18:44:00Z,65,Versa 4
2026-06-04T18:45:00Z,70,Versa 4
2026-06-04T18:46:00Z,56,Versa 4
2026-06-04T18:47:00Z,32,Versa 4
2026-06-04T18:48:00Z,30,Versa 4
2026-06-04T18:49:00Z,49,Versa 4
2026-06-04T18:50:00Z,33,Versa 4
2026-06-04T18:51:00Z,33,Versa 4
2026-06-04T18:52:00Z,27,Versa 4
2026-06-04T18:53:00Z,44,Versa 4
2026-06-04T18:54:00Z,46,Versa 4
2026-06-04T18:55:00Z,42,Versa 4
2026-06-04T18:56:00Z,56,Versa 4
2026-06-04T18:57:00Z,40,Versa 4
2026-06-04T18:58:00Z,50,Versa 4
2026-06-04T18:59:00Z,58,Versa 4
2026-06-04T19:00:00Z,43,Versa 4
2026-06-04T19:01:00Z,77,Versa 4
2026-06-04T19:02:00Z,3,Versa 4
2026-06-04T19:03:00Z,50,Versa 4
2026-06-04T19:04:00Z,14,Versa 4
2026-06-04T19:05:00Z,21,Versa 4
2026-06-04T19:06:00Z,11,Versa 4
2026-06-04T19:07:00Z,8,Versa 4
2026-06-04T19:08:00Z,12,Versa 4
2026-06-04T19:09:00Z,22,Versa 4
2026-06-04T19:10:00Z,36,Versa 4
2026-06-04T19:11:00Z,21,Versa 4
2026-06-04T19:12:00Z,28,Versa 4
2026-06-04T19:13:00Z,36,Versa 4
2026-06-04T19:14:00Z,31,Versa 4
2026-06-04T19:15:00Z,46,Versa 4
2026-06-04T19:16:00Z,9,Versa 4
2026-06-04T19:17:00Z,26,Versa 4
2026-06-04T19:18:00Z,4,Versa 4
2026-06-04T19:19:00Z,9,Versa 4
2026-06-04T19:20:00Z,49,Versa 4
2026-06-04T19:21:00Z,21,Versa 4
2026-06-04T19:23:00Z,9,Versa 4
2026-06-04T19:24:00Z,9,Versa 4
2026-06-04T19:25:00Z,23,Versa 4
2026-06-04T19:26:00Z,34,Versa 4
2026-06-04T19:28:00Z,23,Versa 4
2026-06-04T19:29:00Z,64,Versa 4
2026-06-04T19:30:00Z,57,Versa 4
2026-06-04T19:31:00Z,9,Versa 4
2026-06-04T19:33:00Z,66,Versa 4
2026-06-04T19:34:00Z,66,Versa 4
2026-06-04T19:35:00Z,38,Versa 4
2026-06-04T19:36:00Z,27,Versa 4
2026-06-04T19:37:00Z,21,Versa 4
2026-06-04T19:38:00Z,48,Versa 4
2026-06-04T19:39:00Z,56,Versa 4
2026-06-04T19:40:00Z,58,Versa 4
2026-06-04T19:41:00Z,58,Versa 4
2026-06-04T19:43:00Z,15,Versa 4
2026-06-04T19:44:00Z,28,Versa 4
2026-06-04T19:45:00Z,14,Versa 4
2026-06-04T19:46:00Z,29,Versa 4
2026-06-04T19:47:00Z,48,Versa 4
2026-06-04T19:48:00Z,36,Versa 4
2026-06-04T19:49:00Z,34,Versa 4
2026-06-04T19:50:00Z,32,Versa 4
2026-06-04T19:51:00Z,26,Versa 4
2026-06-04T19:52:00Z,37,Versa 4
2026-06-04T19:53:00Z,55,Versa 4
2026-06-04T19:54:00Z,39,Versa 4
2026-06-04T19:55:00Z,58,Versa 4
2026-06-04T19:56:00Z,27,Versa 4
2026-06-04T19:57:00Z,6,Versa 4
2026-06-04T19:58:00Z,28,Versa 4
2026-06-04T19:59:00Z,35,Versa 4
2026-06-04T20:00:00Z,43,Versa 4
2026-06-04T20:01:00Z,38,Versa 4
2026-06-04T20:02:00Z,43,Versa 4
2026-06-04T20:03:00Z,43,Versa 4
2026-06-04T20:04:00Z,18,Versa 4
2026-06-04T20:05:00Z,59,Versa 4
2026-06-04T20:06:00Z,58,Versa 4
2026-06-04T20:07:00Z,16,Versa 4
2026-06-04T20:09:00Z,46,Versa 4
2026-06-04T20:10:00Z,54,Versa 4
2026-06-04T20:11:00Z,31,Versa 4
2026-06-04T20:12:00Z,41,Versa 4
